ano_civil_exame,fase,disciplina_oficial,disciplina_portal,media_nacional_0_200,media_nacional_0_20,formato_origem
2021,1,Alemão,,158,15.8,C
2021,1,Inglês,,149,14.9,C
2021,1,Matemática A,MAT.A,106,10.6,C
2021,1,Matemática B,MAT.B,101,10.1,C
2021,1,Matemática Aplic. às Ciências Soc.,MACS,107,10.7,C
2021,1,Desenho A,DES.A,138,13.8,C
2021,1,Mandarim (iniciação),,167,16.7,C
2021,1,Biologia e Geologia,BIO.GEO.,120,12.0,C
2021,1,Literatura Portuguesa,LIT.PORT.,105,10.5,C
2021,1,Geografia A,GEOG.A,107,10.7,C
2021,2,Física e Química A,FÍS.QUÍM.A,88,8.8,C
2021,2,Literatura Portuguesa,LIT.PORT.,108,10.8,C
2021,2,Economia A,ECON.A,116,11.6,C
2021,2,Latim A,,61,6.1,C
2021,2,Português Língua Segunda,,86,8.6,C
2021,2,Português,PORT.,112,11.2,C
2021,2,Geografia A,GEOG.A,102,10.2,C
2021,2,História da Cultura e das Artes,HCA,125,12.5,C
2021,2,História A,HIST.A,116,11.6,C
2021,2,Geometria Descritiva A,GEO.DESC.A,109,10.9,C
2021,2,História B,HIST. B,110,11.0,C
2021,2,Biologia e Geologia,BIO.GEO.,99,9.9,C
2021,2,Desenho A,DES.A,126,12.6,C
2021,2,Matemática A,MAT.A,92,9.2,C
2021,2,Matemática B,MAT.B,79,7.9,C
2021,2,Matemática Aplic. às Ciências Soc.,MACS,88,8.8,C
2021,2,Filosofia,FILO.,103,10.3,C
2021,2,Inglês,,144,14.4,C
2021,2,Alemão,,135,13.5,C
2021,2,Francês,,88,8.8,C
2021,2,Espanhol (iniciação),,150,15.0,C
2021,2,Espanhol (continuação),,123,12.3,C
2022,1,Português Língua Segunda,,115,11.5,C
2022,1,Português,PORT.,109,10.9,C
2022,1,Português Língua Não Materna,,115,11.5,C
2022,1,Mandarim (iniciação),,145,14.5,C
2022,1,Geografia A,GEOG.A,116,11.6,C
2022,1,História da Cultura e das Artes,HCA,123,12.3,C
2022,1,Biologia e Geologia,BIO.GEO.,108,10.8,C
2022,1,Francês,,145,14.5,C
2022,1,História A,HIST.A,123,12.3,C
2022,1,Espanhol (iniciação),,159,15.9,C
2022,1,Espanhol (continuação),,129,12.9,C
2022,1,Economia A,ECON.A,118,11.8,C
2022,1,Alemão,,147,14.7,C
2022,1,Física e Química A,FÍS.QUÍM.A,117,11.7,C
2022,1,Literatura Portuguesa,LIT.PORT.,120,12.0,C
2022,1,Filosofia,FILO.,111,11.1,C
2022,1,Matemática A,MAT.A,119,11.9,C
2022,1,Matemática B,MAT.B,89,8.9,C
2022,1,Matemática Aplic. às Ciências Soc.,MACS,105,10.5,C
2022,1,Desenho A,DES.A,141,14.1,C
2022,1,Inglês,,148,14.8,C
2022,1,Geometria Descritiva A,GEO.DESC.A,104,10.4,C
2022,1,Latim A,,126,12.6,C
2022,1,História B,HIST. B,128,12.8,C
2022,2,Física e Química A,FÍS.QUÍM.A,104,10.4,C
2022,2,Literatura Portuguesa,LIT.PORT.,101,10.1,C
2022,2,Economia A,ECON.A,120,12.0,C
2022,2,Latim A,,115,11.5,C
2022,2,Português Língua Segunda,,110,11.0,C
2022,2,Português,PORT.,122,12.2,C
2022,2,Português Língua Não Materna,,98,9.8,C
2022,2,Geografia A,GEOG.A,112,11.2,C
2022,2,História da Cultura e das Artes,HCA,118,11.8,C
2022,2,Matemática A,MAT.A,98,9.8,C
2022,2,Matemática B,MAT.B,104,10.4,C
2022,2,Matemática Aplic. às Ciências Soc.,MACS,94,9.4,C
2022,2,Filosofia,FILO.,104,10.4,C
2022,2,História A,HIST.A,107,10.7,C
2022,2,Geometria Descritiva A,GEO.DESC.A,116,11.6,C
2022,2,História B,HIST. B,125,12.5,C
2022,2,Biologia e Geologia,BIO.GEO.,103,10.3,C
2022,2,Desenho A,DES.A,138,13.8,C
2022,2,Inglês,,150,15.0,C
2022,2,Alemão,,107,10.7,C
2022,2,Francês,,133,13.3,C
2022,2,Espanhol (iniciação),,140,14.0,C
2022,2,Espanhol (continuação),,118,11.8,C
2023,1,Português Língua Segunda,,119,11.9,C
2023,1,Português,PORT.,125,12.5,C
2023,1,Português Língua Não Materna,,155,15.5,C
2023,1,Mandarim (iniciação),,171,17.1,C
2023,1,Italiano (iniciação),,133,13.3,C
2023,1,Geografia A,GEOG.A,109,10.9,C
2023,1,História da Cultura e das Artes,HCA,103,10.3,C
