aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
1359,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE2,163,0-200,16.3,15,16,16,15,15,False
1359,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,HIST. B,CE1,136,0-200,13.6,16,16,16,16,15,False
1359,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,HIST. B,CE2,135,0-200,13.5,16,16,16,16,15,False
1360,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,ECON.A,CE1,156,0-200,15.6,15,14,15,16,16,False
1360,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,GEOG.A,CE1,120,0-200,12.0,17,17,17,16,16,False
1360,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,GEOG.A,CE2,157,0-200,15.7,17,17,17,16,16,False
1364,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE1,49,0-200,4.9,8,8,8,9,9,False
1364,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE2,91,0-200,9.1,8,8,8,9,9,False
1367,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO D,GEO.DESC.A,CE1,181,0-200,18.1,18,18,19,18,18,False
1367,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO D,HCA,CE1,141,0-200,14.1,13,13,14,13,13,False
1368,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE1,136,0-200,13.6,14,14,14,14,14,False
1368,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE2,148,0-200,14.8,14,14,14,14,14,False
1368,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE1,124,0-200,12.4,14,14,15,15,14,False
1368,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE2,109,0-200,10.9,14,14,15,15,14,False
1371,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE1,166,0-200,16.6,15,15,15,16,16,False
1371,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE2,146,0-200,14.6,15,15,15,16,16,False
1371,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE1,140,0-200,14.0,16,17,17,17,16,False
1371,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE2,151,0-200,15.1,16,17,17,17,16,False
1376,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,FÍS.QUÍM.A,CE1,112,0-200,11.2,16,16,16,16,15,False
1376,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,GEO.DESC.A,CE1,193,0-200,19.3,20,19,20,20,20,False
1387,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE1,102,0-200,10.2,11,12,12,12,12,False
1387,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE2,126,0-200,12.6,11,12,12,12,12,False
1387,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE1,109,0-200,10.9,10,11,12,13,13,False
1387,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE2,131,0-200,13.1,10,11,12,13,13,False
1392,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE1,126,0-200,12.6,14,13,13,14,14,False
1392,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE2,124,0-200,12.4,14,13,13,14,14,False
1392,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,HIST. B,CE1,99,0-200,9.9,12,13,14,13,12,False
1392,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,HIST. B,CE2,106,0-200,10.6,12,13,14,13,12,False
1395,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO C,MACS,CE1,107,0-200,10.7,16,13,13,12,12,False
1396,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,FÍS.QUÍM.A,CE1,126,0-200,12.6,15,15,16,15,14,False
1396,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,FÍS.QUÍM.A,CE2,117,0-200,11.7,15,15,16,15,14,False
1396,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,GEO.DESC.A,CE1,185,0-200,18.5,20,20,19,19,19,False
1401,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE1,169,0-200,16.9,18,17,17,18,18,False
1401,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,FILO.,CE1,160,0-200,16.0,18,18,18,18,17,False
1404,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE1,125,0-200,12.5,9,9,10,11,11,False
1404,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,HIST. B,CE1,98,0-200,9.8,10,10,11,11,11,False
1408,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO C,FILO.,CE1,128,0-200,12.8,12,13,14,14,14,False
1408,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO C,LIT.PORT.,CE1,158,0-200,15.8,17,16,16,17,17,False
1410,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A2,BIO.GEO.,CE1,110,0-200,11.0,9,10,10,10,10,False
1410,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,77,0-200,7.7,10,9,8,9,12,False
1410,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE2,115,0-200,11.5,10,9,8,9,12,False
1410,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A2,PORT.,CE1,128,0-200,12.8,11,11,11,11,12,False
1412,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE1,150,0-200,15.0,15,16,15,16,16,False
1412,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A3,GEO.DESC.A,CE1,198,0-200,19.8,16,19,20,20,20,False
1412,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A3,MAT.A,CE1,150,0-200,15.0,15,12,14,14,14,False
1412,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A3,PORT.,CE1,127,0-200,12.7,14,14,13,13,13,False
1416,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO C,FILO.,CE1,112,0-200,11.2,10,10,10,11,11,False
1416,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO C,GEOG.A,CE1,148,0-200,14.8,12,13,12,13,14,False
1416,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO C,HIST.A,CE1,86,0-200,8.6,11,12,13,12,12,False
1416,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO C,HIST.A,CE2,123,0-200,12.3,11,12,13,12,12,False
1416,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO C,PORT.,CE1,130,0-200,13.0,10,10,11,11,12,False
1417,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO D,FILO.,CE1,106,0-200,10.6,13,13,14,14,13,False
1417,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO D,MAT.B,CE1,122,0-200,12.2,12,11,12,12,12,False
1417,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO D,DES.A,CE1,169,0-200,16.9,16,17,17,17,17,False
1417,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO D,DES.A,CE2,147,0-200,14.7,16,17,17,17,17,False
1417,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO D,PORT.,CE1,91,0-200,9.1,12,12,12,12,12,False
1417,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO D,PORT.,CE2,107,0-200,10.7,12,12,12,12,12,False
1418,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A1,BIO.GEO.,CE1,163,0-200,16.3,18,18,18,18,18,False
