aluno_id,ano_letivo,turma,disciplina,fase,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif
790,2015/2016,15/16 - 11º ANO B,ECON.A,CE1,14.3,17,17,17,17
790,2015/2016,15/16 - 11º ANO B,HIST. B,CE1,16.1,16,17,17,17
790,2016/2017,16/17 - 12º ANO B,MAT.A,CE1,17.9,17,16,18,18
790,2016/2017,16/17 - 12º ANO B,PORT.,CE1,11.9,14,16,17,16
790,2016/2017,16/17 - 12º ANO B,PORT.,CE2,13.1,14,16,17,16
792,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE1,15.2,16,16,17,17
792,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE2,14.8,16,16,17,17
792,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE1,15.9,15,17,17,17
792,2016/2017,16/17 - 12º ANO A1,MAT.A,CE1,18.1,17,16,17,17
792,2016/2017,16/17 - 12º ANO A1,PORT.,CE1,16.7,16,16,16,16
793,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE1,14.5,14,14,14,15
793,2015/2016,15/16 - 11º ANO A1,FILO.,CE1,14.7,18,17,16,17
793,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE1,16.0,13,14,14,14
793,2016/2017,16/17 - 12º ANO A1,MAT.A,CE1,16.1,15,15,16,16
793,2016/2017,16/17 - 12º ANO A1,MAT.A,CE2,16.5,15,15,16,16
793,2016/2017,16/17 - 12º ANO A1,PORT.,CE1,13.7,16,14,14,14
794,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE1,14.2,17,16,16,16
794,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE2,13.6,17,16,16,16
794,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE1,16.8,17,16,17,17
794,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE2,14.3,17,16,17,17
794,2016/2017,16/17 - 12º ANO A1,MAT.A,CE1,18.1,18,18,19,18
794,2016/2017,16/17 - 12º ANO A1,MAT.A,CE2,18.5,18,18,19,18
794,2016/2017,16/17 - 12º ANO A1,PORT.,CE1,16.6,17,18,18,17
797,2015/2016,15/16 - 11º ANO A2,FÍS.QUÍM.A,CE1,14.0,17,18,17,17
797,2015/2016,15/16 - 11º ANO A2,FÍS.QUÍM.A,CE2,13.3,17,18,17,17
797,2015/2016,15/16 - 11º ANO A2,GEO.DESC.A,CE1,17.8,14,17,18,17
797,2016/2017,16/17 - 12º ANO A2,MAT.A,CE1,17.5,16,14,15,17
797,2016/2017,16/17 - 12º ANO A2,PORT.,CE1,15.3,16,15,16,16
798,2015/2016,15/16 - 11º ANO D,GEO.DESC.A,CE1,13.5,18,18,,5
798,2015/2016,15/16 - 11º ANO D,HCA,CE1,12.8,15,16,15,16
798,2015/2016,15/16 - 11º ANO D,HCA,CE2,10.5,15,16,15,16
798,2016/2017,16/17 - 12º ANO D,DES.A,CE1,17.6,20,19,20,20
798,2016/2017,16/17 - 12º ANO D,PORT.,CE1,12.3,16,16,17,15
800,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE1,13.7,17,16,16,17
800,2015/2016,15/16 - 11º ANO A1,FILO.,CE1,18.0,19,19,19,19
800,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE1,17.8,17,17,18,18
800,2016/2017,16/17 - 12º ANO A1,MAT.A,CE1,19.9,19,19,20,20
800,2016/2017,16/17 - 12º ANO A1,PORT.,CE1,16.0,17,18,17,17
802,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE1,9.5,10,8,9,10
802,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE1,10.1,7,9,10,10
802,2016/2017,16/17 - 12º ANO A1,PORT.,CE1,9.6,12,13,14,13
804,2015/2016,15/16 - 11º ANO A2,FÍS.QUÍM.A,CE1,15.0,14,15,14,14
804,2015/2016,15/16 - 11º ANO A2,GEO.DESC.A,CE1,17.0,19,19,20,19
804,2015/2016,15/16 - 11º ANO A2,GEO.DESC.A,CE2,20.0,19,19,20,19
804,2016/2017,16/17 - 12º ANO A2,MAT.A,CE1,17.1,18,17,17,17
804,2016/2017,16/17 - 12º ANO A2,PORT.,CE1,13.6,14,14,14,14
806,2015/2016,15/16 - 11º ANO B,ECON.A,CE1,7.7,14,15,16,15
806,2015/2016,15/16 - 11º ANO B,FILO.,CE1,14.1,15,16,16,15
806,2016/2017,16/17 - 12º ANO B,MAT.A,CE1,12.3,13,12,12,13
806,2016/2017,16/17 - 12º ANO B,MAT.A,CE2,14.2,13,12,12,13
806,2016/2017,16/17 - 12º ANO B,PORT.,CE1,13.6,15,15,16,15
808,2015/2016,15/16 - 11º ANO A1,BIO.GEO.,CE1,18.8,19,19,20,20
808,2015/2016,15/16 - 11º ANO A1,FÍS.QUÍM.A,CE1,19.4,19,19,20,20
808,2016/2017,16/17 - 12º ANO A1,MAT.A,CE1,20.0,19,20,20,20
808,2016/2017,16/17 - 12º ANO A1,PORT.,CE1,18.6,18,19,19,19
809,2015/2016,15/16 - 11º ANO A2,FILO.,CE1,17.7,18,18,18,19
809,2015/2016,15/16 - 11º ANO A2,FÍS.QUÍM.A,CE1,14.4,13,15,15,16
809,2016/2017,16/17 - 12º ANO A2,MAT.A,CE1,15.9,16,18,18,17
809,2016/2017,16/17 - 12º ANO A2,PORT.,CE1,14.7,17,17,17,17
811,2015/2016,15/16 - 11º ANO B,ECON.A,CE1,14.6,13,16,16,17
811,2015/2016,15/16 - 11º ANO B,HIST. B,CE1,15.1,15,16,16,16
811,2016/2017,16/17 - 12º ANO B,MAT.A,CE1,15.6,14,14,14,14
811,2016/2017,16/17 - 12º ANO B,PORT.,CE1,14.0,16,17,18,17
