aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
837,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,MAT.,CE1,53,0-100,10.6,3,3,3,3,3,False
837,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,PORT.,CE1,51,0-100,10.2,3,3,3,3,3,False
838,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,MAT.,CE1,4,0-100,0.8,3,3,3,,3,False
838,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,PORT.,CE1,3,0-100,0.6,3,3,3,,3,False
838,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,77,0-100,15.4,3,3,3,3,3,False
838,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,70,0-100,14.0,3,4,4,4,4,False
839,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,MAT.,CE1,66,0-100,13.2,3,3,3,,3,False
839,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,PORT.,CE1,64,0-100,12.8,4,3,4,,4,False
839,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,MAT.,CE1,77,0-100,15.4,3,2,3,3,3,False
839,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,PORT.,CE1,66,0-100,13.2,3,3,4,4,4,False
840,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,MAT.,CE1,4,0-100,0.8,2,3,3,,3,False
840,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,PORT.,CE1,4,0-100,0.8,3,4,4,,4,False
841,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,MAT.,CE1,4,0-100,0.8,3,4,4,,4,False
841,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,PORT.,CE1,4,0-100,0.8,3,4,4,,4,False
841,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,70,0-100,14.0,3,3,3,3,3,False
841,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,57,0-100,11.4,4,4,4,4,4,False
843,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,96,0-100,19.2,5,5,5,,5,False
843,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,91,0-100,18.2,4,5,5,,5,False
843,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,MAT.,CE1,100,0-100,20.0,5,5,5,5,5,False
843,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,PORT.,CE1,92,0-100,18.4,5,5,5,5,5,False
845,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,MAT.,CE1,5,0-100,1.0,4,4,5,,5,False
845,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,PORT.,CE1,3,0-100,0.6,4,4,4,,4,False
845,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,96,0-100,19.2,5,5,5,5,5,False
845,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,76,0-100,15.2,4,5,5,5,5,False
846,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,MAT.,CE1,4,0-100,0.8,4,3,3,,3,False
846,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,PORT.,CE1,2,0-100,0.4,3,3,3,,3,False
846,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,MAT.,CE1,53,0-100,10.6,3,3,3,3,3,False
846,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,PORT.,CE1,56,0-100,11.2,3,3,3,3,3,False
847,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,5,0-100,1.0,4,5,5,,5,False
847,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,5,0-100,1.0,4,4,4,,4,False
847,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,MAT.,CE1,96,0-100,19.2,5,5,5,5,5,False
847,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,PORT.,CE1,92,0-100,18.4,5,5,5,5,5,False
849,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,MAT.,CE1,4,0-100,0.8,4,4,4,,4,False
849,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,PORT.,CE1,3,0-100,0.6,3,3,4,,4,False
850,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,MAT.,CE1,4,0-100,0.8,4,4,4,,4,False
850,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,PORT.,CE1,4,0-100,0.8,4,3,4,,4,False
850,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,MAT.,CE1,93,0-100,18.6,4,5,5,5,5,False
850,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,PORT.,CE1,77,0-100,15.4,4,4,4,4,4,False
851,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,MAT.,CE1,73,0-100,14.6,4,4,4,,4,False
851,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,PORT.,CE1,58,0-100,11.6,4,3,3,,3,False
851,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,70,0-100,14.0,4,3,3,3,3,False
851,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,56,0-100,11.2,3,3,3,3,3,False
852,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,MAT.,CE1,5,0-100,1.0,5,5,5,,5,False
852,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,PORT.,CE1,4,0-100,0.8,4,4,5,,5,False
852,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,MAT.,CE1,91,0-100,18.2,4,4,4,4,4,False
852,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,PORT.,CE1,62,0-100,12.4,4,4,4,4,4,False
853,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,MAT.,CE1,5,0-100,1.0,4,4,4,,4,False
853,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,PORT.,CE1,4,0-100,0.8,4,4,4,,4,False
853,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,MAT.,CE1,88,0-100,17.6,4,4,4,4,4,False
853,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,PORT.,CE1,73,0-100,14.6,4,4,4,4,4,False
855,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,MAT.,CE1,82,0-100,16.4,3,3,4,,4,False
855,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,PORT.,CE1,90,0-100,18.0,3,3,3,,4,False
855,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,64,0-100,12.8,3,3,4,4,4,False
855,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,53,0-100,10.6,3,4,4,4,4,False
857,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,MAT.,CE1,3,0-100,0.6,3,3,3,,3,False
857,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,PORT.,CE1,3,0-100,0.6,3,3,3,,3,False
857,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO C,MAT.,CE1,78,0-100,15.6,3,3,3,3,3,False
857,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO C,PORT.,CE1,57,0-100,11.4,4,4,4,4,4,False
858,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,MAT.,CE1,4,0-100,0.8,4,3,3,,3,False
858,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,PORT.,CE1,3,0-100,0.6,3,3,3,,3,False
859,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,90,0-100,18.0,4,4,4,,4,False
859,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,89,0-100,17.8,4,4,4,,4,False
859,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,MAT.,CE1,96,0-100,19.2,4,4,4,4,4,False
859,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,PORT.,CE1,81,0-100,16.2,4,4,4,4,4,False
860,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,MAT.,CE1,5,0-100,1.0,3,3,3,,4,False
860,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,PORT.,CE1,4,0-100,0.8,3,3,3,,3,False
860,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO C,MAT.,CE1,52,0-100,10.4,4,3,3,3,3,False
860,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO C,PORT.,CE1,64,0-100,12.8,3,3,3,3,3,False
861,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,4,0-100,0.8,3,4,4,,4,False
861,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,4,0-100,0.8,3,3,4,,4,False
861,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,MAT.,CE1,76,0-100,15.2,4,3,3,3,3,False
861,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,PORT.,CE1,71,0-100,14.2,3,3,3,3,3,False
862,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,MAT.,CE1,3,0-100,0.6,3,3,3,,3,False
862,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO E,PORT.,CE1,4,0-100,0.8,4,3,4,,4,False
862,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,MAT.,CE1,52,0-100,10.4,3,3,3,3,3,False
862,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO E,PORT.,CE1,73,0-100,14.6,4,4,5,5,5,False
863,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,MAT.,CE1,2,0-100,0.4,2,2,2,,2,False
863,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,PORT.,CE1,3,0-100,0.6,2,2,3,,3,False
864,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,MAT.,CE1,4,0-100,0.8,3,4,3,,3,False
864,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO A,PORT.,CE1,4,0-100,0.8,3,4,4,,4,False
865,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,4,0-100,0.8,4,4,4,,4,False
865,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,4,0-100,0.8,3,3,3,,3,False
865,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,81,0-100,16.2,4,5,4,4,4,False
865,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,61,0-100,12.2,3,4,4,4,4,False
866,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,98,0-100,19.6,5,4,4,,4,False
866,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,79,0-100,15.8,3,4,4,,4,False
866,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,MAT.,CE1,77,0-100,15.4,4,3,4,4,4,False
866,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,PORT.,CE1,69,0-100,13.8,3,3,3,3,3,False
867,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,MAT.,CE1,4,0-100,0.8,3,3,3,,3,False
867,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,PORT.,CE1,4,0-100,0.8,3,3,3,,3,False
867,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO C,MAT.,CE1,79,0-100,15.8,3,4,4,4,4,False
867,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO C,PORT.,CE1,63,0-100,12.6,3,3,3,3,3,False
868,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,MAT.,CE1,5,0-100,1.0,5,5,5,,5,False
868,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO C,PORT.,CE1,4,0-100,0.8,5,5,5,,5,False
868,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,MAT.,CE1,96,0-100,19.2,5,5,5,5,5,False
868,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,PORT.,CE1,80,0-100,16.0,5,5,5,5,5,False
869,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,MAT.,CE1,4,0-100,0.8,3,3,3,,3,False
869,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,PORT.,CE1,3,0-100,0.6,3,2,3,,3,False
869,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,70,0-100,14.0,3,2,3,3,3,False
869,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,50,0-100,10.0,2,3,3,3,3,False
870,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,MAT.,CE1,4,0-100,0.8,4,4,4,,4,False
870,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO D,PORT.,CE1,4,0-100,0.8,4,5,4,,4,False
872,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,97,0-100,19.4,4,5,5,,5,False
872,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,76,0-100,15.2,4,4,4,,4,False
872,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,MAT.,CE1,88,0-100,17.6,4,4,4,4,4,False
872,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO D,PORT.,CE1,73,0-100,14.6,4,4,4,4,4,False
873,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,3,0-100,0.6,3,3,3,,3,False
873,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,3,0-100,0.6,3,2,3,,3,False
873,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO A,MAT.,CE1,28,0-100,5.6,2,2,2,2,2,False
